lg07	Htr-GVL-A001674	22.5
lg07	Htr-GVL-A001235	23.0
lg07	Htr-GVL-A001551	24.0
lg07	Htr-GVL-A001867	24.4
lg07	Htr-GVL-A001463	26.1
lg07	Htr-GVL-A000635	30.0
lg07	Htr-GVL-A000294	30.1
lg07	Htr-GVL-A000646	31.2
lg07	Htr-GVL-A000979	31.6
lg07	Htr-GVL-A000348	32.1
lg07	Htr-GVL-A000349	32.9
lg08	Htr-GVL-A001097	0.0
lg08	Htr-GVL-A002089	6.1
lg08	Htr-GVL-A001734	11.8
lg08	Htr-GVL-A000400	19.6
lg08	Htr-GVL-A001169	20.9
lg08	Htr-GVL-A001190	22.2
lg08	Htr-GVL-A000226	22.4
lg08	Htr-GVL-A001124	22.5
lg08	Htr-GVL-A001877	25.4
lg08	Htr-GVL-A000697	25.5
lg08	Htr-GVL-A001860	25.6
lg08	Htr-GVL-A000072	25.9
lg08	Htr-GVL-A000950	26.2
lg08	Htr-GVL-A000355	26.2
lg08	Htr-GVL-A000046	26.3
lg08	Htr-GVL-A000184	26.9
lg08	Htr-GVL-A001712	27.2
lg08	Htr-GVL-A000704	27.5
lg08	Htr-GVL-A001259	27.8
lg08	Htr-GVL-A002146	28.0
lg08	Htr-GVL-A000737	28.2
lg08	Htr-GVL-A001340	28.6
lg08	Htr-GVL-A002186	28.6
lg08	Htr-GVL-A001814	28.6
lg08	Htr-GVL-A001189	29.0
lg08	Htr-GVL-A000555	29.8
lg08	Htr-GVL-A001706	30.8
lg08	Htr-GVL-A001968	31.4
lg08	Htr-GVL-A001176	31.9
lg08	Htr-GVL-A001579	32.3
lg08	Htr-GVL-A000711	32.6
lg08	Htr-GVL-A001413	33.1
lg08	Htr-GVL-A002101	33.7
lg08	Htr-GVL-A001477	33.9
lg08	Htr-GVL-A000133	35.2
lg08	Htr-GVL-A001228	35.3
lg08	Htr-GVL-A001198	35.5
lg08	Htr-GVL-A000344	38.2
lg08	Htr-GVL-A000553	38.7
lg08	Htr-GVL-A000219	39.2
lg08	Htr-GVL-A000689	39.9
lg08	Htr-GVL-A002104	40.1
lg08	Htr-GVL-A002000	40.2
lg08	Htr-GVL-A001967	41.5
lg08	Htr-GVL-A00169	43.4
lg09	Htr-GVL-A000054	0.0
lg09	Htr-GVL-A000653	0.1
lg09	Htr-GVL-A000069	6.9
lg09	Htr-GVL-A000683	8.5
lg09	Htr-GVL-A002203	18.5
lg09	Htr-GVL-A001387	18.6
lg09	Htr-GVL-A000422	20.8
lg09	Htr-GVL-A000291	21.7
lg09	Htr-GVL-A001950	22.0
lg09	Htr-GVL-A001390	23.9
lg09	Htr-GVL-A001934	24.9
lg09	Htr-GVL-A000687	25.0
lg09	Htr-GVL-A001351	25.3
lg09	Htr-GVL-A001736	25.9
lg09	Htr-GVL-A002126	26.3
lg09	Htr-GVL-A001196	27.1
lg09	Htr-GVL-A000340	28.1
lg09	Htr-GVL-A001721	28.1
lg09	Htr-GVL-A002241	28.6
lg09	Htr-GVL-A000063	29.3
lg09	Htr-GVL-A001488	30.4
lg09	Htr-GVL-A001105	30.6
lg09	Htr-GVL-A000989	30.7
lg09	Htr-GVL-A000612	30.9
lg09	Htr-GVL-A000867	31.3
lg09	Htr-GVL-A000558	31.4
lg09	Htr-GVL-A002122	31.8
lg09	Htr-GVL-A000512	31.8
lg09	Htr-GVL-A000039	33.2
lg09	Htr-GVL-A000260	33.3
lg09	Htr-GVL-A002296	33.5
lg09	Htr-GVL-A000588	33.6
lg09	Htr-GVL-A002128	33.9
lg09	Htr-GVL-A000953	33.9
lg09	Htr-GVL-A000933	34.1
lg09	Htr-GVL-A001264	34.3
lg09	Htr-GVL-A001307	34.4
lg09	Htr-GVL-A001750	34.5
lg09	Htr-GVL-A002053	34.7
lg09	Htr-GVL-A001326	34.7
lg09	Htr-GVL-A000891	35.5
lg09	Htr-GVL-A001085	36.1
lg09	Htr-GVL-A001470	36.4
lg09	Htr-GVL-A002130	36.7
lg09	Htr-GVL-A001162	36.9
lg09	Htr-GVL-A001692	38.6
lg09	Htr-GVL-A002209	38.8
lg09	Htr-GVL-A000333	38.8
lg09	Htr-GVL-A002243	38.9
lg09	Htr-GVL-A000835	39.3
lg09	Htr-GVL-A001505	40.2
lg09	Htr-GVL-A001403	40.2
lg09	Htr-GVL-A000347	40.8
lg09	Htr-GVL-A001838	40.9
lg09	Htr-GVL-A001870	46.4
lg09	Htr-GVL-A001953	46.8
lg09	Htr-GVL-A000922	55.9
lg10	Htr-GVL-A000425	0.0
lg10	Htr-GVL-A000470	2.3
lg10	Htr-GVL-A002196	3.6
lg10	Htr-GVL-A000510	4.3
lg10	Htr-GVL-A002031	5.2
lg10	Htr-GVL-A000320	6.0
lg10	Htr-GVL-A001352	6.2
lg10	Htr-GVL-A000144	6.3
lg10	Htr-GVL-A001276	6.8
lg10	Htr-GVL-A001863	7.8
lg10	Htr-GVL-A001792	7.8
lg10	Htr-GVL-A000413	8.9
lg10	Htr-GVL-A001999	9.2
lg10	Htr-GVL-A000327	10.2
lg10	Htr-GVL-A001134	10.8
lg10	Htr-GVL-A002148	11.7
lg10	Htr-GVL-A001374	12.1
lg10	Htr-GVL-A000289	12.4
lg10	Htr-GVL-A001273	12.6
lg10	Htr-GVL-A000325	12.6
lg10	Htr-GVL-A001862	13.5
lg10	Htr-GVL-A000983	13.9
lg10	Htr-GVL-A000878	14.0
lg10	Htr-GVL-A001607	14.9
lg10	Htr-GVL-A001474	15.2
lg10	Htr-GVL-A000383	15.8
lg10	Htr-GVL-A000414	16.4
lg10	Htr-GVL-A000571	18.1
lg10	Htr-GVL-A000831	18.3
lg10	Htr-GVL-A001383	18.5
lg10	Htr-GVL-A000521	18.9
lg10	Htr-GVL-A000026	19.0
lg10	Htr-GVL-A001567	23.4
lg10	Htr-GVL-A000478	23.7
lg10	Htr-GVL-A001558	24.1
lg10	Htr-GVL-A000391	24.5
lg10	Htr-GVL-A000967	24.7
lg10	Htr-GVL-A001418	25.3
lg10	Htr-GVL-A001494	25.6
lg10	Htr-GVL-A001954	26.1
lg10	Htr-GVL-A000682	26.1
lg10	Htr-GVL-A001542	26.1
lg10	Htr-GVL-A001668	26.2
lg10	Htr-GVL-A000894	27.2
lg10	Htr-GVL-A000606	27.5
lg10	Htr-GVL-A001052	28.2
lg10	Htr-GVL-A001700	28.3
lg10	Htr-GVL-A000763	30.0
lg10	Htr-GVL-A001315	31.0
lg10	Htr-GVL-A001471	31.0
lg10	Htr-GVL-A001381	31.2
lg10	Htr-GVL-A002258	31.5
lg10	Htr-GVL-A000419	33.3
lg11	Htr-GVL-A000750	0.0
lg11	Htr-GVL-A001623	9.6
lg11	Htr-GVL-A001217	11.6
lg11	Htr-GVL-A001215	14.0
lg11	Htr-GVL-A001932	14.8
lg11	Htr-GVL-A000766	15.8
lg11	Htr-GVL-A001828	15.9
lg11	Htr-GVL-A002250	16.6
lg11	Htr-GVL-A001343	17.3
lg11	Htr-GVL-A002289	18.0
lg11	Htr-GVL-A001493	18.1
lg11	Htr-GVL-A001304	18.7
lg11	Htr-GVL-A001704	18.7
lg11	Htr-GVL-A000074	18.9
lg11	Htr-GVL-A000768	20.1
lg11	Htr-GVL-A001701	20.4
lg11	Htr-GVL-A000105	20.5
lg11	Htr-GVL-A002087	20.8
lg11	Htr-GVL-A002212	21.7
lg11	Htr-GVL-A001060	22.4
lg11	Htr-GVL-A001773	23.5
lg11	Htr-GVL-A000112	23.6
lg11	Htr-GVL-A002046	23.6
lg11	Htr-GVL-A001188	25.4
lg11	Htr-GVL-A001357	26.9
lg11	Htr-GVL-A000306	27.6
lg11	Htr-GVL-A000157	28.7
lg11	Htr-GVL-A001185	29.3
lg11	Htr-GVL-A001912	29.4
lg11	Htr-GVL-A000678	29.4
lg11	Htr-GVL-A000665	31.1
lg11	Htr-GVL-A002159	31.2
lg11	Htr-GVL-A000073	31.8
lg11	Htr-GVL-A001419	32.2
lg11	Htr-GVL-A000741	32.7
lg11	Htr-GVL-A000939	33.2
lg11	Htr-GVL-A000280	33.5
lg11	Htr-GVL-A000569	33.9
lg11	Htr-GVL-A000158	34.1
lg11	Htr-GVL-A001032	35.9
lg11	Htr-GVL-A001920	36.2
lg11	Htr-GVL-A001161	36.5
lg11	Htr-GVL-A001576	36.5
lg11	Htr-GVL-A000332	36.7
lg11	Htr-GVL-A000361	37.6
lg11	Htr-GVL-A002157	37.7
lg11	Htr-GVL-A000293	37.9
lg11	Htr-GVL-A000999	38.9
lg11	Htr-GVL-A000567	39.5
lg11	Htr-GVL-A001023	39.7
lg11	Htr-GVL-A001908	41.3
lg12	Htr-GVL-A000691	0.0
lg12	Htr-GVL-A000595	10.0
lg12	Htr-GVL-A000686	12.6
lg12	Htr-GVL-A001594	13.1
lg12	Htr-GVL-A002079	14.0
lg12	Htr-GVL-A001631	14.5
lg12	Htr-GVL-A000961	14.9
lg12	Htr-GVL-A002045	15.3
lg12	Htr-GVL-A000083	15.4
lg12	Htr-GVL-A002305	15.5
lg12	Htr-GVL-A001540	16.0
lg12	Htr-GVL-A001824	16.2
lg12	Htr-GVL-A000814	16.4
lg12	Htr-GVL-A001247	16.7
lg12	Htr-GVL-A001014	18.0
lg12	Htr-GVL-A001818	18.1
lg12	Htr-GVL-A000610	20.3
lg12	Htr-GVL-A001813	21.1
lg12	Htr-GVL-A001457	21.7
lg12	Htr-GVL-A001068	22.0
lg12	Htr-GVL-A001138	23.6
lg12	Htr-GVL-A002080	23.7
lg12	Htr-GVL-A002265	24.4
lg12	Htr-GVL-A000505	25.4
lg12	Htr-GVL-A000318	25.5
lg12	Htr-GVL-A001929	25.5
lg12	Htr-GVL-A001765	25.7
lg12	Htr-GVL-A000176	26.2
lg12	Htr-GVL-A002226	26.4
lg12	Htr-GVL-A000578	28.1
lg12	Htr-GVL-A002026	29.2
lg12	Htr-GVL-A002091	30.0
lg13	Htr-GVL-A002282	0.0
lg13	Htr-GVL-A001300	8.6
lg13	Htr-GVL-A001359	8.7
lg13	Htr-GVL-A000240	8.9
lg13	Htr-GVL-A002206	8.9
lg13	Htr-GVL-A001847	9.2
lg13	Htr-GVL-A001290	9.8
lg13	Htr-GVL-A001727	10.3
lg13	Htr-GVL-A001489	10.7
lg13	Htr-GVL-A001507	10.7
lg13	Htr-GVL-A001636	11.1
lg13	Htr-GVL-A000514	13.0
lg13	Htr-GVL-A002105	13.1
lg13	Htr-GVL-A001691	13.2
lg13	Htr-GVL-A001758	13.5
lg13	Htr-GVL-A001305	13.6
lg13	Htr-GVL-A002022	14.0
lg13	Htr-GVL-A001166	14.8
lg13	Htr-GVL-A001910	15.0
lg13	Htr-GVL-A001267	15.1
lg13	Htr-GVL-A001793	15.3
lg13	Htr-GVL-A000774	15.3
lg13	Htr-GVL-A000851	15.5
